0,SFRP4,SFRP3,SFRP2,FZD10,FZD1,COIA1,FZD2,FZD3,FZD4,FZD5,FZD6,FZD7,FZD8,FZD9,MFRP,CBPZ,SYNPR,SFRP1,SFRP5,SMO,ZN318,AGRD1,AGRB3,CORIN,DMD
SFRP4,0.0,0.553846,0.830508,0.794798,0.800578,0.858382,0.797688,0.809249,0.806358,0.783237,0.823699,0.794798,0.794798,0.794798,0.893064,0.861272,0.886792,0.834395,0.842271,0.884393,0.884393,0.884393,0.884393,0.872832,0.869942
SFRP3,0.553846,0.0,0.823729,0.809231,0.790769,0.833846,0.778462,0.809231,0.796923,0.775385,0.827692,0.775385,0.772308,0.790769,0.883077,0.852308,0.883019,0.83121,0.826498,0.876923,0.88,0.873846,0.889231,0.84,0.886154
SFRP2,0.830508,0.823729,0.0,0.789831,0.79661,0.823729,0.8,0.823729,0.789831,0.79322,0.837288,0.79322,0.789831,0.779661,0.894915,0.854237,0.886792,0.647458,0.623729,0.874576,0.871186,0.891525,0.884746,0.816949,0.871186
FZD10,0.794798,0.809231,0.789831,0.0,0.6179,0.889845,0.580531,0.695353,0.519553,0.597246,0.707401,0.587108,0.597246,0.388985,0.905009,0.86747,0.883019,0.812102,0.817035,0.833046,0.886403,0.886403,0.888124,0.862306,0.895009
FZD1,0.800578,0.790769,0.79661,0.6179,0.0,0.882535,0.224779,0.673879,0.607076,0.617094,0.697063,0.247387,0.61051,0.615905,0.894646,0.897991,0.883019,0.802548,0.791798,0.81762,0.888717,0.887172,0.8949,0.873261,0.899536
COIA1,0.858382,0.833846,0.823729,0.889845,0.882535,0.0,0.872566,0.894895,0.878957,0.868376,0.889518,0.878049,0.851585,0.878173,0.875648,0.884969,0.875472,0.824841,0.823344,0.879288,0.896237,0.899314,0.915243,0.891555,0.90935
FZD2,0.797688,0.778462,0.8,0.580531,0.224779,0.872566,0.0,0.60708,0.577281,0.553982,0.621239,0.223009,0.546903,0.60354,0.899115,0.893805,0.886792,0.799363,0.801262,0.819469,0.886726,0.890265,0.900885,0.853097,0.883186
FZD3,0.809249,0.809231,0.823729,0.695353,0.673879,0.894895,0.60708,0.0,0.713222,0.683761,0.5,0.602787,0.720721,0.705584,0.903282,0.880368,0.864151,0.847134,0.84858,0.828829,0.89039,0.885886,0.89039,0.90991,0.897898
FZD4,0.806358,0.796923,0.789831,0.519553,0.607076,0.878957,0.577281,0.713222,0.0,0.607076,0.713222,0.594041,0.590317,0.52514,0.901304,0.89013,0.871698,0.796178,0.804416,0.824953,0.89013,0.873371,0.884544,0.843575,0.891993
FZD5,0.783237,0.775385,0.79322,0.597246,0.617094,0.868376,0.553982,0.683761,0.607076,0.0,0.700855,0.567944,0.34359,0.605128,0.899827,0.878632,0.883019,0.83121,0.823344,0.811966,0.882051,0.883761,0.88547,0.85812,0.890598
FZD6,0.823699,0.827692,0.837288,0.707401,0.697063,0.889518,0.621239,0.5,0.713222,0.700855,0.0,0.623693,0.731988,0.715736,0.905009,0.90184,0.867925,0.840764,0.858044,0.847025,0.890935,0.90085,0.898017,0.898017,0.895184
FZD7,0.794798,0.775385,0.79322,0.587108,0.247387,0.878049,0.223009,0.602787,0.594041,0.567944,0.623693,0.0,0.566202,0.608014,0.89547,0.869338,0.864151,0.789809,0.776025,0.804878,0.874564,0.893728,0.879791,0.858885,0.890244
FZD8,0.794798,0.772308,0.789831,0.597246,0.61051,0.851585,0.546903,0.720721,0.590317,0.34359,0.731988,0.566202,0.0,0.602369,0.894646,0.868098,0.890566,0.840764,0.826498,0.850144,0.883285,0.896254,0.900576,0.889049,0.893372
FZD9,0.794798,0.790769,0.779661,0.388985,0.615905,0.878173,0.60354,0.705584,0.52514,0.605128,0.715736,0.608014,0.602369,0.0,0.8981,0.900169,0.890566,0.821656,0.788644,0.832487,0.86802,0.884941,0.891709,0.85956,0.900169
MFRP,0.893064,0.883077,0.894915,0.905009,0.894646,0.875648,0.899115,0.903282,0.901304,0.899827,0.905009,0.89547,0.894646,0.8981,0.0,0.887737,0.883019,0.894904,0.873817,0.884283,0.882556,0.887737,0.891192,0.865285,0.884283
CBPZ,0.861272,0.852308,0.854237,0.86747,0.897991,0.884969,0.893805,0.880368,0.89013,0.878632,0.90184,0.869338,0.868098,0.900169,0.887737,0.0,0.867925,0.875796,0.845426,0.875767,0.886503,0.900307,0.892638,0.898773,0.895706
SYNPR,0.886792,0.883019,0.886792,0.883019,0.883019,0.875472,0.886792,0.864151,0.871698,0.883019,0.867925,0.864151,0.890566,0.890566,0.883019,0.867925,0.0,0.89434,0.901887,0.867925,0.875472,0.867925,0.864151,0.875472,0.867925
SFRP1,0.834395,0.83121,0.647458,0.812102,0.802548,0.824841,0.799363,0.847134,0.796178,0.83121,0.840764,0.789809,0.840764,0.821656,0.894904,0.875796,0.89434,0.0,0.474522,0.834395,0.882166,0.872611,0.878981,0.843949,0.872611
SFRP5,0.842271,0.826498,0.623729,0.817035,0.791798,0.823344,0.801262,0.84858,0.804416,0.823344,0.858044,0.776025,0.826498,0.788644,0.873817,0.845426,0.901887,0.474522,0.0,0.84858,0.867508,0.876972,0.88959,0.864353,0.873817
SMO,0.884393,0.876923,0.874576,0.833046,0.81762,0.879288,0.819469,0.828829,0.824953,0.811966,0.847025,0.804878,0.850144,0.832487,0.884283,0.875767,0.867925,0.834395,0.84858,0.0,0.878018,0.885642,0.894536,0.894536,0.893266
ZN318,0.884393,0.88,0.871186,0.886403,0.888717,0.896237,0.886726,0.89039,0.89013,0.882051,0.890935,0.874564,0.883285,0.86802,0.882556,0.886503,0.875472,0.882166,0.867508,0.878018,0.0,0.898169,0.902102,0.897313,0.898201
AGRD1,0.884393,0.873846,0.891525,0.886403,0.887172,0.899314,0.890265,0.885886,0.873371,0.883761,0.90085,0.893728,0.896254,0.884941,0.887737,0.900307,0.867925,0.872611,0.876972,0.885642,0.898169,0.0,0.846682,0.907323,0.891304
AGRB3,0.884393,0.889231,0.884746,0.888124,0.8949,0.915243,0.900885,0.89039,0.884544,0.88547,0.898017,0.879791,0.900576,0.891709,0.891192,0.892638,0.864151,0.878981,0.88959,0.894536,0.902102,0.846682,0.0,0.894434,0.896846
CORIN,0.872832,0.84,0.816949,0.862306,0.873261,0.891555,0.853097,0.90991,0.843575,0.85812,0.898017,0.858885,0.889049,0.85956,0.865285,0.898773,0.875472,0.843949,0.864353,0.894536,0.897313,0.907323,0.894434,0.0,0.902111
DMD,0.869942,0.886154,0.871186,0.895009,0.899536,0.90935,0.883186,0.897898,0.891993,0.890598,0.895184,0.890244,0.893372,0.900169,0.884283,0.895706,0.867925,0.872611,0.873817,0.893266,0.898201,0.891304,0.896846,0.902111,0.0
